moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies
13,13,13,8,8,8,1,1,1
Faustini,Haworth,Cabeus,Faustini,Haworth,Cabeus,Faustini,Haworth,Cabeus
0.8729928777973216,0.80113673781811,2.9368587029208495,1.4179775227840175,0.662606924225084,1.155375970171319,15.768507312923672,4.797914318667725,
0.5754175569980587,0.8486177157133901,4.527761324261364,0.33874290239597393,0.559650086230974,50.54313998066452,0.6373572768754954,0.42581954110746467,
2.2365615328913315,1.4679703779198183,0.6728634918769293,19.323431538530556,14.659045363468454,0.5259626649004905,100.0,100.0,
4.0756833919207205,1.1338427885477371,,0.8101496222815204,0.1228258962575504,,0.15717115935393458,0.626547266475968,
1.3718219515635972,0.5780434183041026,,0.05892528555088074,0.37850291829601723,,0.1469834072394276,0.8439970094390015,
0.054558300690761286,0.09342948625308259,,100.0,9.045654258053489,,1.4399854853303995,3.6466248003991,
,1.3485187179062599,,,1.1398124381336843,,3.0934897346404733,2.360617722794101,
,1.123821064440186,,,5.282208460573116,,,1.1161877150559427,
,13.714001211049343,,,21.924233047009324,,,2.745298087788281,
,3.8538006086585446,,,,,,,
