Needham, Debra H., and David A. Kring. "Lunar volcanism produced a transient atmosphere around the ancient Moon." Earth and Planetary Science Letters 478 (2017): 175-178. https://doi.org/10.1016/j.epsl.2017.09.002
Table S3: Mass and surface pressure of volatiles degassed by lunar mare basalt as a function of time,,,,,,,,,,,,,,,,
Age Bins,Total Volume,Mass of spherules,CO,,H2O,,H,,S,,SUM,,Psurf=mg/A,,Time til Atm Lost,
Ga,km3,g,min (g),max (g),min (g),max (g),min (g),max (g),min (g),max (g),min (g),max (g),min (Pa),max (Pa),min (yr),max (yr)
3.5,"5,446,355",1.63E+22,1.31E+18,1.23E+19,2.94E+16,1.47E+17,1.14E+14,7.35E+17,2.94E+18,8.82E+18,4.28E+18,2.20E+19,180.43,926.27,1.36E+07,6.96E+07
3.6,"126,027",3.78E+20,3.02E+16,2.84E+17,6.81E+14,3.40E+15,2.65E+12,1.70E+16,6.81E+16,2.04E+17,9.90E+16,5.08E+17,4.18,21.43,"313,877",1.61E+06
3.7,"406,515",1.22E+21,9.76E+16,9.15E+17,2.20E+15,1.10E+16,8.54E+12,5.49E+16,2.20E+17,6.59E+17,3.19E+17,1.64E+18,13.47,69.14,1.01E+06,5.20E+06
3.8,"1,525,044",4.58E+21,3.66E+17,3.43E+18,8.24E+15,4.12E+16,3.20E+13,2.06E+17,8.24E+17,2.47E+18,1.20E+18,6.15E+18,50.52,259.37,3.80E+06,1.95E+07
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
