,label,time,depth,ice_pct,ice,ejecta
0,Ice,4210000000.0,235.6812160156,100.0,34.0863976,0.0
1,Haworth,4190000000.0,212.5193074156,13.827823360852236,2.8137126,20.348195999999998
2,Ice,4100000000.0,174.85011301559996,100.0,37.669194399999995,0.0
3,Faustini,4080000000.0,159.05623121559998,12.873724059628133,1.8013588,13.992523
4,Ice,4000000000.0,142.58206702559997,100.0,16.474164190000003,0.0
5,Cabeus,3980000000.0,126.21608902559996,6.6538094542349215,1.021024,15.344954000000001
6,Amundsen,3960000000.0,97.48282562559996,2.945738817091824,0.8221874,27.911076
7,Ice,3910000000.0,93.83319102559994,100.0,3.6496345999999997,0.0
8,"Sverdrup,Nobile",3890000000.0,58.78704501459998,0.02803379429873979,0.009822011,35.036324
9,Schrodinger,3850000000.0,13.456809754599988,0.4945005650985054,0.22305526,45.10718
10,Scott,3840000000.0,0.0,0.0513888997522509,0.006911754599999999,13.449898000000001
